Item;codigo;DESCRIPCION;qtd;;
1;50014404;CASTLE NUT 14H991;2;;
2;151340220;SEAL OIL;4;;
3;170325304;RING 0170325304;4;;
4;331375809;O - RING;4;;
5;390016101;CAP;2;;
6;CB01418406;GEAR- BASECUTTER BOX;2;;
7;CB01418408;GEAR - BASECUTTER BOX;1;;
8;CB01418422;WASHER;2;;
9;CB01429730;BRACE CB01429730;8;;
10;CB01431646;SNAP RING;2;;
11;CB01434899;LINE OIL;2;;
12;CB01436944;GASKET;3;;
13;CB01443097;PLATE CB01443097;10;;
14;CB01464785;CARRIER-SEAL;2;;
15;CB01471989;CABLE;3;;
16;CB11419285;MOTOR H;1;;
17;CB11419505;SHAFT;2;;
18;CB11423829;SEAL KIT;2;;
19;CB11432119;MOTOR - BASECUTTER;1;;
20;CB11437992;HOSE;2;;
21;CB11438649;RELIEF VALVE MOT.BASECUTTER;2;;
22;T78313;O-RING;24;;
23;31344064;PUMP;3;;
24;50014318;NUT;7;;
25;61324768;SCREEN;2;;
26;290042754;MOUNT-RUBBER;8;;
27;390016101;CAP;2;;
28;14H991;CASTLE NUT 14H991;4;;
29;CB01487628;PIN;2;;
30;CB11419285;MOTOR H;2;;
31;CB11421055;PIN BOOM;2;;
32;CB11421189;BRACKET;6;;
33;CB11423252;MOTOR HYDRAULIC;2;;
34;CB11437992;HOSE;2;;
35;CB11454210;HUB;6;;
36;CB11459302;CRADLE;3;;
37;CB11465027;HYDRAULIC CYLINDER;4;;
38;R135604;BELT-V;4;;
39;RE46608;ALTERNATOR W/PULLEY RE46608;2;;
40;RE500226;ALTERNATOR RE500226;2;;
41;RE62776;GASKET EXHAUST MAN;12;;
42;RE62777;GASKET EXHAUST MAN;4;;
43;T139440;BOLT TRACK HX HEAD GDE 12.9 NF;190;;
